Party,Sub Party,Sales Person,Sales Branch,Sales Person.0,Article,Blend,Width,GSM,Color,Lab No.,Lot No,Challan No.,Qty (Kg),Qty (Mtr.),No. of Taka,Type of Finish,Type of Packing,Remarks,Order Number,,Manual Conf.
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,GREY,CKU-21540,21123,KDC-189,393,,14,EXTRA SOFT FINISH,Rolling,,CKU-2185,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,GREY,CKU-21540,21124,KDC-190,388,,14,EXTRA SOFT FINISH,Rolling,,CKU-2186,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,GREY,CKU-21540,21125,KDC-191,376,,14,EXTRA SOFT FINISH,Rolling,,CKU-2187,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21126,KDC-192,391,,14,EXTRA SOFT FINISH,Rolling,,CKU-2188,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21127,KDC-193,390,,14,EXTRA SOFT FINISH,Rolling,,CKU-2189,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21128,KDC-194,389,,15,EXTRA SOFT FINISH,Rolling,,CKU-2190,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21129,KDC-195,389,,15,EXTRA SOFT FINISH,Rolling,,CKU-2191,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21130,KDC-196,389,,15,EXTRA SOFT FINISH,Rolling,,CKU-2192,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21131,KDC-197,381,,14,EXTRA SOFT FINISH,Rolling,,CKU-2193,,
CKU,ONBV,PIYUSH(CKU),,,NS-1179,NS,60,200,ICY PINK N-35937,N-35937,21113,KDC RF -34,197,,7,SOFT FINISH(COOLTEX+UV PROTECTION),Rolling,,CKU-2194,,
CKU,ONBV,PIYUSH(CKU),,,NS-1179,NS,60,200,DEEP MAHOGANY N-35908,N-35908,21114,KDC RF -35,193,,7,SOFT FINISH(COOLTEX+UV PROTECTION),Rolling,,CKU-2195,,
CKU,SPIRIT ANIMAL,PIYUSH(CKU),,,NS-1179,NS,60,230,MOCHA,N-47467,21115,KDC RF -36,197,,7,SOFT FINISH,Rolling,,CKU-2196,,
CKU,SPIRIT ANIMAL,PIYUSH(CKU),,,NS-1179,NS,60,230,TEAL GREEN,N-48016,21116,KDC RF -37,197,,7,SOFT FINISH,Rolling,,CKU-2197,,
CKU,S J FASHION,PIYUSH(CKU),,,C-732,PS,60,180,BLACK,OPEN,20550,ALU-,50,,2,SOFT FINISH,Rolling,GREIGE FROM MOHIT SIR,CKU-2198,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-205-76,CS,72,160,DARK ASH ,CL-39971,16993,K-02509,179.3,,6,EXTRA SOFT FINISH,Rolling,CONFIRM WITH ARPIT JI,CKU-2171,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-205-76,CS,72,160,DARK ASH ,CL-39971,16994,K-02510,119.5,,4,EXTRA SOFT FINISH,Rolling,CONFIRM WITH ARPIT JI,CKU-2172,,
CKU,ONBV,PIYUSH(CKU),,,C-920F(82%NYLON 18%SPANDEX),NS,60,200,ROCKY ROAD ,N-20565,21184,KDC-198,349,,14,SOFT FINISH,Rolling,,CKU-2199,,
CKU,Ampio Industries Llp (Bhiwandi),PIYUSH(CKU),,,NS-683 BLACK,P,65,125,RFD,RFD,21187,KDC-201,385,,15,SOFTWICKING,Rolling,,CKU-2200,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-672,P,64,120,BURLWOOD ,CKU-22757,21189 A,KDC-203,96,,4,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-2201,,
CKU,B.K. Enterprises (Delhi),PIYUSH(CKU),,,NS-1234,PS,60,200,RFD,CBR HEATSET FINISH,21195,KDC-209,201,,9,SOFT FINISH,Rolling,,CKU-2202,,
GINZA UDHNA,TORAM,SUNIL,,,"A-1511/P/65""",POLY,"56""",-,BEIGE,D-14661,21136,GRP/0332/03/26,299.5,1799,13,REGULAR,ROLL PACKING,,UDN-400,,
GINZA UDHNA,TORAM,SUNIL,,,"A-1511/P/65""",POLY,"56""",-,BEIGE,D-14661,21137,GRP/0333/03/26,299.5,1797.5,13,REGULAR,ROLL PACKING,,UDN-401,,
GINZA UDHNA,TORAM,SUNIL,,,"A-1511/P/65""",POLY,"56""",-,BLACK,HF-2730,21210,GRP/0337/03/26,303.7,1821,13,REGULAR,ROLL PACKING,,UDN-402,,
GINZA UDHNA,RAM SWAROOP ,VIRENDRA,,,TR-508B / PS / 85'',PS,58'',110,BLACK,D-2323 OLD LOT 17003,21209,336,343,2575,17,soft,kanti,,UDN-403,,
GINZA UDHNA,ginza udhna,VIRENDRA,,,L-3009 / PS / 130'',PS,58'',220,WHITE,Regular,21208,335,185,370,4,soft,kanti,NO DAGI & STAIN GOODS ,UDN-404,,
GINZA UDHNA,RELIANCE,VIRENDRA,,,TR-508 / PS / 85'',PS,58'',110,BLACK,OLD LOT 20461,21213,340,42,252,2,soft,kanti,direct dyeing lena hai no. heat setting,UDN-405,,
GINZA UDHNA,WILHELM,SUNIL,,,"A-1675/P/65""",POLY,"56""",175,WHITE,-,21138,GRP/0334/03/26,17.4,113,1,FULL HARD ,-,NEW DESIGN (URGENT),UDN-406,,
GINZA UDHNA,MAKHIJA,SUNIL,,,"A-2033/N/65""",NYLON,"56""",-,WHITE,-,21211,GRP/0338/03/26,359.9,3060,22,REGULAR,-,,UDN-407,,
GINZA UDHNA,Jockey,VIRENDRA,,,TR-1 / NS / 85'',PS,57'',130,V DUSTY ROSE,N-47897,20655,199,12,64,1,JOCKEY,kanti,URGENT,UDN-408,,
GINZA UDHNA,Jockey,VIRENDRA,,,TR-1 / NS / 85'',PS,57'',130,V INFINITY,N-48005,20656,200,12,64,1,JOCKEY,kanti,URGENT,UDN-409,,
GINZA UDHNA,Jockey,VIRENDRA,,,TR-1 / NS / 85'',PS,57'',130,V SILVER BULLET,N-48652,20658,202,12,63,1,JOCKEY,kanti,URGENT,UDN-410,,
GINZA UDHNA,Jockey,VIRENDRA,,,TR-1 / NS / 85'',PS,57'',130,V BLUE SURF,N-48010,20657,201,12,63,1,JOCKEY,kanti,URGENT,UDN-411,,
GINZA UDHNA,,EXTERNAL,,,"A-1599E/P-72 (PCS NO:-1,2,3 AND 7 TO 13)",PP,60,170,CHAMPAGNE,G-4071 KHATA	,21167,,331,1212,10,AS/LAST ROLLING,Rolling,"PCS NO:-1,2,3 AND 7 TO 13",ORD-22912,,
GINZA UDHNA,,EXTERNAL,,,A-1599E/P-72 (PCS NO:-14 TO 23),PP,60,170,CHAMPAGNE,G-4071 KHATA	,21167,,337,1234,10,AS/LAST ROLLING,Rolling,PCS NO:-14 TO 23,ORD-22913,,
GINZA UDHNA,,EXTERNAL,,,A-1599E/P-72 (PCS NO:-24 TO 35),PP,60,170,CHAMPAGNE,G-4071 KHATA	,21167,,337,1230,12,AS/LAST ROLLING,Rolling,PCS NO:-24 TO 35,ORD-22914,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,,"A-1599E/P-72 (PCS NO:-36 TO 42 AND 4,5,6)",PP,60,170,IVORY,AS/LAST,21167,,350,1278,12,AS/LAST ROLLING,Rolling,"PCS NO:-36 TO 42 AND 4,5,6",ORD-22915,,
GINZA UDHNA,INTIMATE (jockey ),VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,V P BLACK,MATCH TO STD,21074,322,102,511,4,intimat jockey,Roll,,UDN-412,,
GINZA UDHNA,INTIMATE (jockey ),VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,v new steel grey milange,MATCH TO STD,21075,323,106,531,4,intimat jockey,Roll,,UDN-413,,
GINZA UDHNA,PAGE,SUNIL,,,"A-1519B/P/65""",POLY,"58""",-,V CHICORY COFFEE,P-1262,20927,GRP/0249/03/26,20.4,77,1,REGULAR,ROLL PACKING,,UDN-414,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V PEPER CORN,N-48492,20934,GRP/0256/03/26,4.4,70,1,REGULAR,-,,UDN-415,,
GINZA UDHNA,PAGE,SUNIL,,,"A-1519B/P/65""",POLY,"58""",-,V CRUSH N BLUSH,-,20035,GRP/0020/03/26,178.5,678,6,REGULAR,ROLL PACKING,,UDN-416,,
GINZA UDHNA,PAGE,SUNIL,,,"A-1519B/P/65""",POLY,"58""",-,V LIGHT MAHOGANY,P-1244,20957,GRP/0279/03/26,20.3,77,1,REGULAR,ROLL PACKING,NEED YELLOWER,UDN-417,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V BEET RED,-,21066,GRP/0314/03/26,34.6,554,2,REGULAR,-,,UDN-418,,
GINZA UDHNA,REGULAR,SUNIL,,,"JURSEY-2/N/93""",NYLON,"56""",-,WHITE,-,21070,GRP/0318/03/26,354.9,1987.5,18,REGULAR,-,,UDN-419,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V PEACH BLUSH,N-48431,20935,GRP/0257/03/26,4.38,70,1,REGULAR,-,,UDN-420,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V SLATE GREY,N-48437,20936,GRP/0258/03/26,4.36,70,1,REGULAR,-,,UDN-421,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V WHITE,-,21065,GRP/0313/03/26,34.6,554,2,REGULAR,-,,UDN-422,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V DEEP TAUPE,-,21067,GRP/0315/03/26,34.78,556,2,REGULAR,-,,UDN-423,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V DEEP TAUPE,-,21068,GRP/0316/03/26,34.7,555.5,2,REGULAR,-,,UDN-424,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V HEATHER ROSE,-,21069,GRP/0317/03/26,34.88,557,2,REGULAR,-,,UDN-425,,
GINZA UDHNA,REGULAR,SUNIL,,,"JURSEY-2/N/93""",NYLON,"56""",-,WHITE,-,21071,GRP/0319/03/26,361.1,2022,18,REGULAR,-,,UDN-426,,
GINZA UDHNA,S JI,SUNIL,,,"A-1590A/P/65""",POLY,"56""",-,BOIL HEAT SET,-,-,GRP/0347/03/26,81.42,2483.5,12,REGULAR,-,WITH PH MAINTAIN FOR PRINT USE,UDN-427,,
GINZA UDHNA,TORAM,SUNIL,,,"A-1511/P/65""",POLY,"56""",-,BLACK,HF-2730,-,GRP/0351/03/26,45.2,271,2,REGULAR,ROLL PACKING,,UDN-428,,
GINZA UDHNA,TORAM,SUNIL,,,"A-1511/P/65""",POLY,"56""",-,BLACK,HF-2730,-,GRP/0352/03/26,252,1512.5,12,REGULAR,ROLL PACKING,,UDN-429,,
CKU,PAGE INDUSTRIES,PIYUSH(CKU),,,NS-1228A,PS,60,140,V P BLACK,P-118,20909 B,KDC-152,170,,6,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-2203,,
CKU,PAGE INDUSTRIES,PIYUSH(CKU),,,NS-1228A,PS,60,140,V J  EARTH,P-998,20909 A,KDC-152,200,,7,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-2204,,
CKU,B.K. ENTERPRISES (DELHI),PIYUSH(CKU),,,ND-57 G,NS,60,250,SAND,N-48618,21269,KDC-224,109,,4,SOFT FINISH,Rolling,,CKU-2205,,
CKU,B.K. ENTERPRISES (DELHI),PIYUSH(CKU),,,ND-57 G,NS,60,250,PEACH,N-48626,21270,KDC-225,109,,4,SOFT FINISH,Rolling,,CKU-2206,,
CKU,SILVERTRAQ INTERNATIONAL PRIVATE LIMITED (TIRUPUR),PIYUSH(CKU),,,C-672,P,64,120,GRAPE WINE,LAB REQUEST SENT APPROVED INTERNALLY,21262 RF,KDC RF-39,281,,16,SOFT FINISH,Rolling,GREY CONVERT INTO GRAPE WINE,CKU-2207,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21245,KDC-220,371,,14,EXTRA SOFT FINISH,Rolling,,CKU-2208,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21243,KDC-218,372,,15,EXTRA SOFT FINISH,Rolling,,CKU-2209,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21244,KDC-219,388,,14,EXTRA SOFT FINISH,Rolling,,CKU-2210,,
CKU,Makhija Brothers (Amardham),PIYUSH(CKU),,,C-917A,NS ,60,150,DUSKY,N-42415,21237,KDC-212,349,,13,SOFT FINISH,Rolling,,CKU-2211,,
CKU,Encot Fabrics Pvt Ltd (Boisar),PIYUSH(CKU),,,NEW SAMPLE-489AF(92%POLYFILAMENT 08%SPANDEX),PS,60,210,RFD,RFD,21239,KDC-214,407,,16,HANDFEELSHOULDBEASPERCUTTINGAPC-290403LYINGWITHAJAYMASTER,Rolling,,CKU-2212,,
CKU,ONBV,PIYUSH(CKU),,,C-920F(82%NYLON 18%SPANDEX),NS,60,200,OMBRE BLUE ,N-36044,21240,KDC-215,188,,7,SOFT FINISH,Rolling,,CKU-2213,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21241,KDC-216,390,,14,EXTRA SOFT FINISH,Rolling,,CKU-2214,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,BLACK,HF-2462,21242,KDC-217,392,,14,EXTRA SOFT FINISH,Rolling,,CKU-2215,,
CKU,Encot Fabrics Pvt Ltd (Boisar),PIYUSH(CKU),,,NEW SAMPLE-489AF(92%POLYFILAMENT 08%SPANDEX),PS,60,210,RFD,RFD,21261 RF,KDC RF-38,99,,4,HANDFEELSHOULDBEASPERCUTTINGAPC-290403LYINGWITHAJAYMASTER,Rolling,FOR WASHING,CKU-2216,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,BLACK,CKU-23378,20847,KDC-126,337,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2217,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,BLACK,CKU-23378,20848,KDC-127,341,,14,SOFT FINISH + WICKING ,Rolling,,CKU-2218,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,COFFEE,CKU-23369,20849,KDC-128,332,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2219,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,COFFEE,CKU-23369,20850,KDC-129,338,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2220,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,DARK GREY,CKU-23374,20851,KDC-130,330,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2221,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,DARK GREY,CKU-23374,20852,KDC-131,331,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2222,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,BUTTER GREY,CKU-23360,20853,KDC-132,327,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2223,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,BUTTER GREY,CKU-23360,20854,KDC-133,331,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2224,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,FAWN,CKU-23384,20855,KDC-134,333,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2225,,
CKU,INNOLABS (THANE),PIYUSH(CKU),,,ND-216,P,60,235,FAWN,CKU-23384,20856,KDC-135,333,,13,SOFT FINISH + WICKING ,Rolling,,CKU-2226,,
CKU,B.K. ENTERPRISES (DELHI),PIYUSH(CKU),,,C-213,CS,72,160,ONION ,CL-39304,21247,KDC-222,201,,7,EXTRA SOFT FINISH,Rolling,,CKU-2227,,
CKU,B.K. ENTERPRISES (DELHI),PIYUSH(CKU),,,ND-57 G,NS,60,250,MINT,N-48636,21268,KDC-223,109,,4,SOFT FINISH,Rolling,,CKU-2228,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,ND-57 G,NS,60,270,CBR HEATSET,RFD,21271,KDC-226,184,,7,CBR HEATSET,Rolling,,CKU-2229,,
GINZA UDHNA,GINZA UDHNA,ARIK,,,L-101B / NS / 65,NS,44,162,WHITE,-,21281,350,101.82,611,7,REGULAR,TAKA FORM,FINISH QULITY 5.5,UDN-430,,
GINZA UDHNA,INTIMATE (jockey ),VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,V BEET RED,MATCH TO STD,21073,321,101,508,4,intimat jockey,Roll,,UDN-431,,
GINZA UDHNA,GINZA,KULDEEP,,,130 /N/ 83 PATTI,N,83 PATTI,-,WHITE,REGULAR,21276,-,199.4,1909,19,HARD,KATI,FINISH QLY-9.20,UDN-433,,
GINZA UDHNA,GINZA,KULDEEP,,,167 /N/ 38 PATTI,N,38 PATTI,-,SKIN,N-8244,21285,-,83.14,673.5,6,HARD,KATI,FINIHS QLTY-7.80-8.20 / OLD LOT 11598,UDN-434,,
GINZA UDHNA,GINZA,KULDEEP,,,A-606D /N/ 66,N,56'',-,WHITE,REGULAR,21273,-,18.7,172.5,2,SOFT,KATI,FINISH QLTY-10.50,UDN-435,,
GINZA UDHNA,GINZA,KULDEEP,,,A-606D /N/ 66,N,56'',-,WHITE,REGULAR,21274,-,12,123,1,SOFT,KATI,FINIHS QLTY-11,UDN-436,,
GINZA UDHNA,FASHION SOLUTION,KULDEEP,,,S-986 /NS/ 66,NS,54'',-,CREAM,N-48605,21275,-,211.3,570,9,SOFT,KATI,FINISH QLTY-3.90,UDN-437,,
GINZA UDHNA,P K ASTIR,KULDEEP,,,S-618 /NS/ 68,NS,56'',-,BLACK,REGULAR,21277,-,117.98,625,9,SOFT,KATI,FINISH QLTY-6,UDN-438,,
GINZA UDHNA,GINZA,KULDEEP,,,169A /N/ 45 PATTI,N,45 PATTI,-,WHITE,REGULAR,21284,-,109.84,1053.5,10,HARD,KATI,FINISH QLTY-9.80,UDN-439,,
GINZA UDHNA,S JI,SUNIL,,,"A-1590A/P/65""",POLY,"56""",-,BOIL HEAT SET,-,21278,GRP/0347/03/26,81.42,2483.5,12,REGULAR,-,WITH PH MAINTAIN FOR PRINT USE,UDN-440,,
GINZA UDHNA,TORAM,SUNIL,,,"A-1511/P/65""",POLY,"56""",-,BLACK,HF-2730,21282,GRP/0351/03/26,45.2,271,2,REGULAR,ROLL PACKING,,UDN-441,,
GINZA UDHNA,TORAM,SUNIL,,,"A-1511/P/65""",POLY,"56""",-,BLACK,HF-2730,21283,GRP/0352/03/26,252,1512.5,12,REGULAR,ROLL PACKING,,UDN-442,,
CKU,CULTSPORTS/AMBERNATH,PIYUSH(CKU),,,C-715FA,PS,60,160,VIOLET TULLE,CKU-23330,21302,KDC-233,70,,3,SOFT WICKING  ,Rolling,,CKU-2230,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,ND-57F,NS,60,270,RFD,RFD,21296,KDC-227,492,,18,CBR HEATSET,Rolling,,CKU-2231,,
CKU,Laj Lifestyle Pvt Ltd (Noida),PIYUSH(CKU),,,C-655,P,60,150,RFD,RFD,21297,KDC-228,395,,14,SOFT WICKING+PH MAINTAIN,Rolling,,CKU-2232,,
CKU,DESIGN CLASSIC EXPORTS PVT LTD (CHENNAI),PIYUSH(CKU),,,NEW SAMPLE-1458 (95%POLYESTER 05%SPANDEX),PS,60,270,STEEL GREY,HF-4165,21298,KDC-229,365,,14,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-2233,,
CKU,DESIGN CLASSIC EXPORTS PVT LTD (CHENNAI),PIYUSH(CKU),,,NEW SAMPLE-1458 (95%POLYESTER 05%SPANDEX),PS,60,270,STEEL GREY,HF-4165,21299,KDC-230,371,,14,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-2234,,
CKU,FLEXFIT ACTIVE WEAR PVT LTD (BANGALORE),PIYUSH(CKU),,,NEW SAMPLE-1458 (95%POLYESTER 05%SPANDEX),PS,60,270,BEIGE,CKU-23148,21300,KDC-231,362,,14,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-2235,,
CKU,FLEXFIT ACTIVE WEAR PVT LTD (BANGALORE),PIYUSH(CKU),,,NEW SAMPLE-1458 (95%POLYESTER 05%SPANDEX),PS,60,270,BEIGE,CKU-23148,21301,KDC-232,171,,6,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-2236,,
GINZA UDHNA,GINZA,KULDEEP,,,353A /N/ 64 PATTI,N,64 PATTI,-,B+HEAT SET,REGULAR,21212,-,58.52,556,5,HARD,KATI,AS PER SAMPLE,UDN-432,,
GINZA UDHNA,PROTECH,VIRENDRA,,,L-3032 / PS / 130'',PS,58'',250,NAVY BLUE,D-4195 old lot 16574,21280,349,200,461,5,soft,Roll,,UDN-443,,
GINZA UDHNA,RAM SWAROOP ,VIRENDRA,,,TR-508B / PS / 85'',PS,58'',110,BROWN,D-15520,21288,357,348,2614,16,soft,kanti,,UDN-444,,
GINZA UDHNA,RAM SWAROOP ,VIRENDRA,,,TR-508B / PS / 85'',PS,58'',110,BROWN,D-15520,21287,356,355,2668,16,soft,kanti,,UDN-445,,
GINZA UDHNA,INTIMATE (jockey ),VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,v deep Taupe ,MATCH TO STD,21279,348,180,902,7,intimat jockey,Roll,,UDN-446,,
GINZA UDHNA,AAKANKSHA,KULDEEP,,,JL-246 /N/ 64,N,54'',-,BROWN,N-48080,21135,-,142.96,786,7,SOFT,KATI,FINISH QLTY-6.50-10% DARK KARNA HAI,UDN-447,,
GINZA UDHNA,AAKANKSHA,KULDEEP,,,JL-251 /N/ 66,N,54'',-,BROWN,N-48080,20546,-,136.18,857,7,SOFT,KATI,FINISH QLTY-6.50-7  -10% DARK KARNA HAI,UDN-448,,
GINZA UDHNA,TAPIO CREATION,KULDEEP,,,A-71 /N/ 56'',N,56'',-,CHOCLET,N-47412,20979/RF,-,13.2,206,1,SOFT,KATI,FINISH QLTY-16-FOR ADDITION,UDN-449,,
GINZA UDHNA,TRIUMPH ,VIRENDRA,,,L-83 / NS /130'',NS,58'',200,NUE BEIGE,OLD LOT 13605 OK,21342,375,117,293,3,THERMAL PROCESS ,Roll,MOST URGENT,UDN-450,,
GINZA UDHNA,PROTECH,VIRENDRA,,,L-3032 / PS / 130'',PS,58'',250,PINK,D-7655 old lot 12448,21345,378,196,451,5,soft,Roll,NO DAGI ISSUE GOODS,UDN-451,,
GINZA UDHNA,B.K. ENTERPRISES,ARIK,,,SP-060A / NS / 65,NS,56,93,WHITE,-,21330,363,247.44,1483.5,18,REGULAR,TAKA FORM,FINISH QULITY 7.5,UDN-452,,
GINZA UDHNA,K CHOITHRAM,VIRENDRA,,,L-3054 / PS / 130'',PS,58'',220,NAVY,OLD LOT 16490,21343,376,215,495,5,soft,Roll,,UDN-453,,
GINZA UDHNA,PROTECH,VIRENDRA,,,L-3032 / PS / 58'',PS,58'',250,COL. TO BLACK,OLD LOT 20067,21386 RF,JIS609,187,493,11,soft,Roll,,UDN-454,,
GINZA UDHNA,PROTECH,VIRENDRA,,,L-3032 / PS / 130'',PS,58'',250,WHITE ,Regular,21344,377,411,949,11,soft,Roll,NO DAGI ISSUE GOODS,UDN-455,,
GINZA UDHNA,PROTECH,VIRENDRA,,,L-3032 / PS / 130'',PS,58'',250,BLACK,OLD LOT 20067,21346,379,195,449,5,soft,Roll,,UDN-456,,
GINZA UDHNA,INTIMATE (jockey ),VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,Navy Peony,N-27378 match std,21076,324,76,384,3,intimat jockey,Roll,MOST URGENT,UDN-457,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,,A-1599E/P-72	,PP,60,170,MOSS PINK,AS/LAST,21303,,403.2,1476,12,AS/LAST ROLLING,Rolling,,ORD-22986,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,,A-1599E/P-72	,PP,60,170,SILVER,AS/LAST,21303,,336,1230,10,AS/LAST ROLLING,Rolling,,ORD-22987,,
