Party,Sub Party,Sales Person,Sales Branch,Sales Person.0,Article,Blend,Width,GSM,Color,Lab No.,Lot No,Challan No.,Qty (Kg),Qty (Mtr.),No. of Taka,Type of Finish,Type of Packing,Remarks,Order Number,,Manual Conf.
CKU,CUP COUTURE (CHENNAI),PIYUSH(CKU),,,C-672,P,64,120,M BLACK,M-2780,21008,KDC-177,341,,14,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-2153,,
CKU,Makhija Brothers (Amardham),PIYUSH(CKU),,,C-917A,NS ,60,150,DUSKY,N-42415,21009,KDC-178,176,,7,SOFT FINISH,Rolling,,CKU-2154,,
CKU,Makhija Brothers (Amardham),PIYUSH(CKU),,,C-917A,NS ,60,150,DUSKY,N-42415,21010,KDC-179,366,,14,SOFT FINISH,Rolling,,CKU-2155,,
GINZA UDHNA,ginza udhna,VIRENDRA,,,L-86 / NS / 130'',NS,58'',180,WHITE,Regular,20053,38,157,442,4,soft,kanti,LAST TIME GSM HEAVY ,UDN-365,,
GINZA UDHNA,ginza udhna,VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,BOIL + HEAT SET,Regular,20460,141,156,783,7,soft,kanti,,UDN-366,,
GINZA UDHNA,INTIMATE,VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,V ANGEL FALLS,OLD LOT 14751,20460,141,25.8,129,1,JOCKEY FINISH,Roll,MOST URGENT,UDN-367,,
GINZA UDHNA,INTIMATE,VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,V ANGEL FALLS,OLD LOT 14751,21072,320,102,513,4,JOCKEY FINISH,Roll,MOST URGENT,UDN-368,,
GINZA UDHNA,PROTECH,VIRENDRA,,,L-3032 / PS / 130'',PS,58'',250,SKY BLUE,D.-9103 Old lot 17665,20463,144,202,465,5,soft,Roll,most urgent,UDN-369,,
GINZA UDHNA,,EXTERNAL,,,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,20487,,330,,10,ROLLING,Rolling,,ORD-22746,,
GINZA UDHNA,,EXTERNAL,,,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,20487,,330,,10,ROLLING,Rolling,,ORD-22746,,
GINZA UDHNA,GST GARMENT,KULDEEP,,,A-512 /N/ 66,N,56'',-,RED,N-48641,20667,-,66.22,515.5,4,SOFT,KATI,FINISH QLTY-7.80,UDN-370,,
GINZA UDHNA,GINZA,KULDEEP,,,167 /N/ 38 PATTI,N,38 PATTI,-,WHITE,REGULAR,20988,-,186,1506.5,12,HARD,KATI,FINISH QLYT-7.80-8.20,UDN-371,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-A,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,20487,,264,984,8,AS/LAST ROLLING,Rolling,,ORD-22748,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-A,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,21019,,67.2,238,2,AS/LAST ROLLING,Rolling,,ORD-22749,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-B,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,21019,,336,1190,10,AS/LAST ROLLING,Rolling,,ORD-22750,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-C,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,21019,,336,1190,10,AS/LAST ROLLING,Rolling,,ORD-22751,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-D,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,21019,,336,1190,10,AS/LAST ROLLING,Rolling,,ORD-22752,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-E,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,21019,,336,1190,10,AS/LAST ROLLING,Rolling,,ORD-22753,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-F,A-1599E/P-72	,PP,60,170,CHAMPAGNE,G-4071 KHATA	,21019,,100.8,357,3,AS/LAST ROLLING,Rolling,,ORD-22754,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-F,A-1599E/P-72(PCS NO:-1 TO 7),PP,60,170,CHAMPAGNE,G-4071 KHATA	,20674,,230,840,7,AS/LAST ROLLING,Rolling,PCS NO:-1 TO 7,ORD-22755,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-G,A-1599E/P-72(PCS NO:-19 TO 28),PP,60,170,CHAMPAGNE,G-4071 KHATA	,20674,,335,1222,10,AS/LAST ROLLING,Rolling,PCS NO:-19 TO 28,ORD-22756,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-H,A-1599E/P-72(PCS NO:-40 TO 49),PP,60,170,CHAMPAGNE,G-4071 KHATA	,20674,,323,1177,10,AS/LAST ROLLING,Rolling,PCS NO:-40 TO 49,ORD-22757,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-I,A-1599E/P-72(PCS NO:-50 TO 59),PP,60,170,CHAMPAGNE,G-4071 KHATA	,20674,,317,1155,10,AS/LAST ROLLING,Rolling,PCS NO:-50 TO 59,ORD-22758,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-J,"A-1599E/P-72(PCS NO:-8,9,13,14,15,16,17,18,29,30)",PP,60,170,CHAMPAGNE,G-4071 KHATA	,20674,,330,1201,10,AS/LAST ROLLING,Rolling,"PCS NO:-8,9,13,14,15,16,17,18,29,30",ORD-22759,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-K,"A-1599E/P-72(PCS NO:-31 TO 39 AND 10,11,12)",PP,60,170,CHAMPAGNE,G-4071 KHATA	,20674,,342,1242,12,AS/LAST ROLLING,Rolling,"PCS NO:-31 TO 39 AND 10,11,12",ORD-22760,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-L,"A-1599E/P-72( PCS NO:-1,2,3 AND 10 TO 16)",PP,60,170,CHAMPAGNE,G-4071 KHATA	,20962,,333,1213,10,AS/LAST ROLLING,Rolling,"PCS NO:-1,2,3 AND 10 TO 16",ORD-22761,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-M,A-1599E/P-72( PCS NO:-17 TO 26),PP,60,170,CHAMPAGNE,G-4071 KHATA	,20962,,333,1213,10,AS/LAST ROLLING,Rolling,PCS NO:-17 TO 26,ORD-22762,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-N,A-1599E/P-72( PCS NO:-27 TO 36),PP,60,170,CHAMPAGNE,G-4071 KHATA	,20962,,335,1224,10,AS/LAST ROLLING,Rolling,PCS NO:-27 TO 36,ORD-22763,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-O,A-1599E/P-72( PCS NO:-37 TO 46),PP,60,170,CHAMPAGNE,G-4071 KHATA	,20962,,327,1194,10,AS/LAST ROLLING,Rolling,PCS NO:-37 TO 46,ORD-22764,,
GINZA UDHNA,GINZA INDUSTRIES LTD. (SAC)	,EXTERNAL,,P-5686-P,"A-1599E/P-72( PCS NO:-47 TO 54 AND 4,5)",PP,60,170,CHAMPAGNE,G-4071 KHATA	,20962,,320,1165,10,AS/LAST ROLLING,Rolling,"PCS NO:-47 TO 54 AND 4,5",ORD-22765,,
GINZA UDHNA,RICAMO,VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,BLACK,Regular,21078,326,309,1546,12,RICAMO STD ,kanti,,UDN-372,,
GINZA UDHNA,RICAMO,VIRENDRA,,,TR-1 / NS / 85'',NS,58'',130,BLACK,Regular,21077,325,307,1537,12,RICAMO STD ,kanti,,UDN-373,,
GINZA UDHNA,MAKHIJA,SUNIL,,,"A-2001/N/65""",NYLON,"56""",-,BLACK,-,16097,GRP/0415/12/25,53.8,946.5,4,REGULAR,ROLL PACKING,,UDN-374,,
GINZA UDHNA,MAKHIJA,SUNIL,,,"A-2001/N/65""",NYLON,"56""",-,BLACK,-,17190,GRP/0234/01/26,16.8,295.5,1,REGULAR,TAKA FORM,,UDN-375,,
GINZA UDHNA,SOUMYA,SUNIL,,,"A-1105/P/65""",POLY,"56""",-,MAROON,D-15624,19086,GRP/0282/02/26,137.06,1987,11,REGULAR,-,,UDN-376,,
